Company,Model,MSE,MAE,R2,MAPE,Final_Score,,,,
KMDA.TA,LSTM,307.58458,12.6683378,0.995589638,0.005203756,-1,,,,
KNFM.TA,GRU,403.9367405,16.66724981,0.989595747,0.011473525,-1,,,,
KRDI.TA,GRU,4.826440066,1.37054936,0.996967839,0.004425216,-1.142171648,,,,
KRUR.TA,LSTM,1422.398307,25.4417109,0.997194674,0.00336477,-1.197637192,,,,
KSTN.TA,GRU,49.55924841,4.403540196,0.983619247,0.006479718,-0.9303749581,,,,
LAHAV.TA,LightGBM,22.1674111,3.771310994,0.988254317,0.01042477824,-1,,,,
LBRA.TA,LSTM,954.066006,24.08573776,0.757003936,0.022418991,-1,,,,
LCTX.TA,LightGBM,0.059719317,0.151511486,0.886674734,0.0552248734,-1,,,,
LEOF.TA,LSTM,73.80234947,5.078603433,0.9862527,0.014972776,-1,,,,
LEVI.TA,LSTM,132406.3649,275.0155777,0.996861056,0.007317856,-0.9777392896,,,,
LHIS.TA,XGBoost,51894.60253,114.275481,0.529796551,1.283423619,-1,,,,
LODZ.TA,GRU,43595.10365,187.3633987,0.892469043,0.258557164,-0.603624599,,,,
LPHL.TA,XGBoost,0.001481796,0.031060061,0.509679134,0.02835846887,-1,,,,
LPSN.TA,LSTM,4257.159122,46.47820728,0.235487033,0.111014622,-1,,,,
LSCO.TA,LSTM,8.988848335,2.007510989,0.995701214,0.005508096,-1.514881934,,,,
LUDN.TA,LSTM,321.4496672,13.78057535,0.995573874,0.006617751,-0.8181508233,,,,
LUMI.TA,LSTM,11193.26178,86.92762252,0.95114475,0.019488377,-1.184796766,,,,
LUZN.TA,LSTM,9.387334189,1.966139819,0.962577621,0.007068901,-0.7124905893,,,,
LVPR.TA,XGBoost,4887.338694,53.10853795,0.99078091,0.008513599663,-1,,,,
MAXO.TA,GRU,69.25342834,6.522227463,0.995047102,0.005513433,-1.417719563,,,,
MCLL.TA,LightGBM,1384.382821,23.3304978,0.888125175,0.03361699646,-0.2,,,,
MCMN.TA,GRU,20889.24464,110.9202381,0.997534972,0.004508738,-1.253504869,,,,
MCRNT.TA,XGBoost,31.66598777,4.400410742,0.531945441,0.02574462509,-1,,,,
MDIN.TA,XGBoost,0.141207332,0.293925818,-0.793444721,0.1835911062,-1,,,,
MDPR.TA,LSTM,7.388530587,1.73044189,0.99815131,0.00284125,-1.111001699,,,,
MDTR.TA,GRU,34.24591589,4.560712897,0.998489723,0.004525647,-1,,,,
MEDN.TA,XGBoost,10.65683015,2.418072634,0.886951518,0.01506397996,-1,,,,
MGDL.TA,GRU,200.0410571,10.22916593,0.978772559,0.014380147,-0.9971338856,,,,
MGIC.TA,GRU,726.0663148,21.20978903,0.98332613,0.004846168,-1.098142684,,,,
MGOR.TA,GRU,835.2578043,22.0596785,0.999268887,0.002021237,-1.691057847,,,,
MGRT.TA,GRU,21.58217261,3.735234999,0.998136247,0.006587079,-1.166480251,,,,
MIA.TA,LightGBM,4.132338962,1.48011978,0.902844806,0.05610702679,-1,,,,
MIFT.TA,GRU,488.9536067,18.4644007,-6.578924899,0.096211608,-1,,,,
MISH.TA,LSTM,1409953.501,656.6790245,0.801142054,0.030942837,-0.7218878366,,,,
MLD.TA,XGBoost,0.020428206,0.136761319,-13.89534692,6.13154233,-1,,,,
MLRN.TA,GRU,36.67674355,4.113019526,0.993192906,0.005367433,-1,,,,
MLSR.TA,GRU,28202.17116,140.0606816,0.994063106,0.00448688,-1,,,,
